t_us,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
9793135,0,1.0,0.0,0.0,0.0,0,0,9770340,1015.509521484375,23.18000030517578,-18.784250259399414,1,9793132,0,0,0.0,0.0,0.0,0,1
9840092,9809708,0.2864990234375,0.34808349609375,-0.0489501953125,-0.89129638671875,0,1,9810774,1015.533935546875,23.200000762939453,-18.987709045410156,2,9840089,0,0,0.0,0.0,0.0,0,2
9897059,9843306,0.28350830078125,0.3468017578125,-0.049560546875,-0.8927001953125,0,2,9844372,1015.513671875,23.209999084472656,-18.818599700927734,3,9897057,0,0,0.0,0.0,0.0,0,3
9940134,9898305,0.2818603515625,0.34588623046875,-0.05010986328125,-0.8935546875,0,3,9899372,1015.508056640625,23.219999313354492,-18.771038055419922,4,9940131,0,0,0.0,0.0,0.0,0,4
9993130,9950924,0.27838134765625,0.3450927734375,-0.0523681640625,-0.894775390625,0,4,9951990,1015.50830078125,23.229999542236328,-18.773679733276367,5,9993127,0,0,0.0,0.0,0.0,0,5
10044059,10002490,0.27496337890625,0.34503173828125,-0.05474853515625,-0.895751953125,0,5,10003556,1015.516845703125,23.25,-18.845022201538086,6,10044056,0,0,0.0,0.0,0.0,0,6
10092066,10055675,0.27227783203125,0.3446044921875,-0.055908203125,-0.89666748046875,0,6,10056741,1015.532958984375,23.25,-18.97713851928711,7,10092063,0,0,0.0,0.0,0.0,0,7
10142060,10093675,0.27001953125,0.34429931640625,-0.05633544921875,-0.89739990234375,0,7,10094741,1015.509033203125,23.25,-18.77896499633789,8,10142057,0,0,0.0,0.0,0.0,0,8
10194059,10146305,0.2691650390625,0.34429931640625,-0.05633544921875,-0.897705078125,0,8,10147371,1015.50830078125,23.260000228881836,-18.773679733276367,9,10194056,0,0,0.0,0.0,0.0,0,9
10240133,10198490,0.26776123046875,0.34442138671875,-0.05474853515625,-0.89813232421875,0,9,10199556,1015.5419921875,23.270000457763672,-19.05376625061035,10,10240130,0,0,0.0,0.0,0.0,0,10
10292059,10250490,0.26605224609375,0.34356689453125,-0.0531005859375,-0.89910888671875,0,10,10251556,1015.54345703125,23.280000686645508,-19.064334869384766,11,10292057,0,0,0.0,0.0,0.0,0,11
10345132,10302924,0.26708984375,0.34423828125,-0.051025390625,-0.898681640625,0,11,10303990,1015.541259765625,23.280000686645508,-19.048480987548828,12,10345129,0,0,0.0,0.0,0.0,0,12
10392059,10355675,0.2679443359375,0.34405517578125,-0.0489501953125,-0.8985595703125,0,12,10356741,1015.5146484375,23.290000915527344,-18.826526641845703,13,10392057,0,0,0.0,0.0,0.0,0,13
10442059,10393675,0.2698974609375,0.3447265625,-0.0472412109375,-0.8978271484375,0,13,10394741,1015.522705078125,23.290000915527344,-18.8925838470459,14,10442056,0,0,0.0,0.0,0.0,0,14
