t_us,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq,loop time
2929060,0,1,0,0,0,0,0,2906339,1014.966064453125,25.43000030517578,-14.27116776,1,2929057,257343282,-803440146,-23.63400078,0.066,188.77264404296875,15,1,
3039788,3008704,0.228210449,-0.178527832,-0.002990723,-0.957092285,0,1,3009769,1014.960205078125,25.43000030517578,0.04756175,3,3039785,257343281,-803440147,-23.61800003,0.078000002,188.77264404296875,15,2,110728
3078568,3042305,0.22833252,-0.178344727,-0.002990723,-0.957092285,0,2,3043371,1014.938232421875,25.43000030517578,0.23252412676811218,4,3078565,257343281,-803440146,-23.62400055,0.037999999,188.77264404296875,15,3,38780
3133605,3079489,0.228271484,-0.178405762,-0.003051758,-0.957092285,0,3,3080555,1014.987793,25.440000534057617,-0.179677725,5,3133602,257343280,-803440147,-23.63699913,0.068999998,188.77264404296875,15,4,55037
3177060,3135305,0.228210449,-0.178405762,-0.002990723,-0.957092285,0,4,3136370,1014.969482421875,25.440000534057617,-0.029065516,6,3177057,257343280,-803440148,-23.64699936,0.064999998,188.77264404296875,15,5,43455
3229064,3187305,0.228088379,-0.178344727,-0.003479004,-0.95715332,0,5,3188371,1014.921875,25.43000030517578,0.36464008688926697,7,3229061,257343279,-803440148,-23.66300011,0.059999999,188.77264404296875,15,6,52004
3282060,3239489,0.228149414,-0.178283691,-0.003356934,-0.95715332,0,6,3240555,1014.963134765625,25.440000534057617,0.026423195376992226,8,3282057,257343278,-803440148,-23.68600082,0.063000001,188.77264404296875,15,7,52996
3328060,3291674,0.228088379,-0.178344727,-0.003601074,-0.95715332,0,7,3292739,1014.980712890625,25.440000534057617,-0.121546701,9,3328057,257343278,-803440149,-23.70599937,0.088,188.77264404296875,15,8,46000
3378475,3329489,0.228149414,-0.178405762,-0.003662109,-0.95715332,0,8,3330555,1014.937744140625,25.440000534057617,0.23780876398086548,10,3378472,257343276,-803440150,-23.70899963,0.11900000274181366,188.77264404296875,15,9,50415
3430284,3382489,0.228088379,-0.178344727,-0.003845215,-0.95715332,0,9,3383555,1014.944336,25.440000534057617,0.17967772483825684,11,3430281,257343273,-803440149,-23.71699905,0.16599999368190765,188.77264404296875,15,10,51809
3482060,3433490,0.228088379,-0.178161621,-0.003845215,-0.957214355,0,10,3434555,1014.958496,25.450000762939453,0.063415669,12,3482057,257343272,-803440149,-23.70400047,0.18400000035762787,188.77264404296875,15,11,51776
