t_us,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
6072797,6017553,1.0,0.0,0.0,0.0,3,-0.16796875,0.0234375,-0.13671875,0.0,0.0,0.0,1,6018618,1014.737548828125,22.440000534057617,-12.371339797973633,1,6072795,257343527,-803440025,-21.601999282836914,0.01600000075995922,313.9132080078125,16,1
6173232,6017553,1.0,0.0,0.0,0.0,3,-0.16796875,0.0234375,-0.13671875,0.0,0.0,0.0,1,6148340,1014.75146484375,22.450000762939453,-0.11626206338405609,3,6173229,257343528,-803440024,-21.589000701904297,0.03700000047683716,313.9132080078125,16,2
6220728,6177713,1.0,0.0,0.0,0.0,3,-0.01953125,0.11328125,-0.08203125,0.0,0.0,0.0,2,6178778,1014.7314453125,22.440000534057617,0.05284639075398445,4,6220726,257343528,-803440024,-21.591999053955078,0.014999999664723873,313.9132080078125,16,3
6272502,6230329,1.0,0.0,0.0,0.0,0,-0.01953125,0.11328125,-0.08203125,nan,2.7549527808625904e-40,1.3982184103002311e-39,3,6231395,1014.756591796875,22.450000762939453,-0.15853917598724365,5,6272499,257343528,-803440024,-21.58799934387207,0.008999999612569809,313.9132080078125,16,4
6320976,6230329,1.0,0.0,0.0,0.0,0,-0.01953125,0.11328125,-0.08203125,nan,2.7549527808625904e-40,1.3982184103002311e-39,3,6285069,1014.7158203125,22.440000534057617,0.17967772483825684,6,6320973,257343528,-803440024,-21.584999084472656,0.020999999716877937,313.9132080078125,16,5
6371486,6322747,1.0,0.0,0.0,0.0,0,-0.01953125,0.11328125,-0.08203125,nan,2.7549107419086606e-40,1.506826047777726e-39,4,6323812,1014.768798828125,22.450000762939453,-0.25894731283187866,7,6371483,257343528,-803440024,-21.570999145507812,0.014000000432133675,313.9132080078125,16,6
6425564,6376480,1.0,0.0,0.0,0.0,3,0.08203125,0.11328125,0.1484375,nan,2.7549107419086606e-40,1.506826047777726e-39,5,6377545,1014.74658203125,22.440000534057617,-0.07662726938724518,8,6425561,257343527,-803440024,-21.575000762939453,0.026000000536441803,313.9132080078125,16,7
6472640,6429373,1.0,0.0,0.0,0.0,0,0.08203125,0.11328125,0.1484375,1.2857277747780921e-39,1.8368360400216135e-40,1.634114395083135e-39,6,6430439,1014.739013671875,22.440000534057617,-0.013211597688496113,9,6472637,257343527,-803440024,-21.575000762939453,0.023000000044703484,313.9132080078125,16,8
6525603,6482480,1.0,0.0,0.0,0.0,3,0.01953125,0.16015625,-0.0078125,1.2857277747780921e-39,1.8368360400216135e-40,1.634114395083135e-39,7,6483546,1014.713623046875,22.440000534057617,0.2008162885904312,10,6525600,257343528,-803440023,-21.56999969482422,0.020999999716877937,313.9132080078125,16,9
6573263,6535349,0.2086181640625,-0.1231689453125,0.16595458984375,0.9559326171875,0,0.01953125,0.16015625,-0.0078125,1.2857277747780921e-39,1.8368360400216135e-40,1.634114395083135e-39,8,6536415,1014.732666015625,22.450000762939453,0.04227711260318756,11,6573260,257343528,-803440023,-21.569000244140625,0.0430000014603138,313.9132080078125,16,10
