t_us,state,batteryVoltage,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq,fin_cmd_rad
10357604,1,4.008984566,10356533,1,0,0,0,0,0,0,0,0.005859375,-0.00390625,-0.005859375,1,10357599,1024.612549,27.55999947,-93.95823669,1,0,0,0,0,0,0,0,0,0
10510345,2,4.002539158,10356533,1,0,0,0,0,0,0,0,0.005859375,-0.00390625,-0.005859375,1,10510339,1024.650635,27.55999947,-94.27003479,2,0,0,0,0,0,0,0,0,0
10589789,2,3.99609375,10588718,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0.005859375,-0.00390625,-0.005859375,2,10589783,1024.643311,27.55999947,-94.21190643,3,0,0,0,0,0,0,0,0,0
10596322,2,4.002539158,10595251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,3,10596317,1024.614746,27.55999947,-93.97673798,4,0,0,0,0,0,0,0,0,0
10602376,2,3.99609375,10601305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,4,10602371,1024.614746,27.55999947,-93.97673798,5,0,0,0,0,0,0,0,0,0
10607322,2,4.002539158,10606251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,5,10607317,1024.614746,27.55999947,-93.97673798,6,0,0,0,0,0,0,0,0,0
10610376,2,4.002539158,10609305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,6,10610371,1024.614746,27.55999947,-93.97673798,7,0,0,0,0,0,0,0,0,0
10617322,2,4.002539158,10616251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,7,10617317,1024.65332,27.55999947,-94.29381561,8,0,0,0,0,0,0,0,0,0
10623376,2,4.002539158,10622305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,8,10623371,1024.65332,27.55999947,-94.29381561,9,0,0,0,0,0,0,0,0,0
10629322,2,3.99609375,10628251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,9,10629317,1024.65332,27.55999947,-94.29381561,10,0,0,0,0,0,0,0,0,0
10632376,2,4.002539158,10631305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,10,10632371,1024.65332,27.55999947,-94.29381561,11,0,0,0,0,0,0,0,0,0
10642322,2,4.002539158,10641251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,11,10642317,1024.628662,27.55999947,-94.09035492,12,0,0,0,0,0,0,0,0,0
10645376,2,4.002539158,10644305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,12,10645371,1024.628662,27.55999947,-94.09035492,13,0,0,0,0,0,0,0,0,0
10650322,2,3.99609375,10649251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,13,10650316,1024.628662,27.55999947,-94.09035492,14,0,0,0,0,0,0,0,0,0
10653376,2,4.008984566,10652305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,14,10653371,1024.628662,27.55999947,-94.09035492,15,0,0,0,0,0,0,0,0,0
10663322,2,3.99609375,10662251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,15,10663317,1024.634521,27.56999969,-94.13791656,16,0,0,0,0,0,0,0,0,0
10667376,2,4.002539158,10666305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,16,10667370,1024.634521,27.56999969,-94.13791656,17,0,0,0,0,0,0,0,0,0
10672322,2,3.99609375,10671251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,17,10672317,1024.634521,27.56999969,-94.13791656,18,0,0,0,0,0,0,0,0,0
10675376,2,4.002539158,10674305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,18,10675371,1024.63916,27.56999969,-94.17755127,19,0,0,0,0,0,0,0,0,0
10685322,2,4.002539158,10684251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,19,10685317,1024.63916,27.56999969,-94.17755127,20,0,0,0,0,0,0,0,0,0
10689376,2,4.002539158,10688305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,20,10689370,1024.63916,27.56999969,-94.17755127,21,0,0,0,0,0,0,0,0,0
10694322,2,3.99609375,10693251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,21,10694317,1024.665283,27.56999969,-94.39157867,22,0,0,0,0,0,0,0,0,0
10700376,2,4.002539158,10699305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,22,10700371,1024.665283,27.56999969,-94.39157867,23,0,0,0,0,0,0,0,0,0
10707322,2,4.002539158,10706251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,23,10707317,1024.665283,27.56999969,-94.39157867,24,0,0,0,0,0,0,0,0,0
10710376,2,4.002539158,10709305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,24,10710371,1024.665283,27.56999969,-94.39157867,25,0,0,0,0,0,0,0,0,0
10715322,2,4.008984566,10714251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,25,10715316,1024.666748,27.56999969,-94.40215302,26,0,0,0,0,0,0,0,0,0
10721376,2,4.015429497,10720305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,26,10721371,1024.666748,27.56999969,-94.40215302,27,0,0,0,0,0,0,0,0,0
10728322,2,3.99609375,10727251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,27,10728317,1024.666748,27.56999969,-94.40215302,28,0,0,0,0,0,0,0,0,0
10731322,2,4.002539158,10730251,0.267456055,-0.115844727,-0.241577148,0.925537109,3,0.03125,-0.0546875,0.04296875,0,0,0,28,10731317,1024.666748,27.56999969,-94.40215302,29,0,0,0,0,0,0,0,0,0
