t_us,p_x,p_y,p_z,v_x,v_y,v_z,roll_deg,pitch_deg,yaw_deg,r_baro,r_gps_pos_x,r_gps_pos_y,r_gps_pos_z,r_gps_vel_x,r_gps_vel_y,r_gps_vel_z
4086251,0.628794,-0.509540,6.659327,1.067562,-0.865094,19.631895,0.000000,0.000000,0.000000,13.426609,nan,nan,nan,nan,nan,nan
4153251,0.637964,-0.516971,3.741950,2.826829,-2.290706,18.276453,0.000000,0.000000,0.000000,5.391814,-0.848398,0.687495,-3.987226,-3.360022,2.739552,-18.356092
4208513,1.067799,-0.865264,3.230037,5.535414,-4.483974,17.856037,0.000000,0.000000,0.000000,3.755640,-0.848398,0.687495,-3.987226,-3.360022,2.739552,-18.356092
4262513,1.293188,-1.047431,3.086225,6.774330,-5.480965,17.668128,0.000000,0.000000,0.000000,3.342664,-1.418838,1.149567,-3.170908,-7.169405,5.791769,-17.669757
4316577,2.317530,-1.875221,3.157275,10.595191,-8.565417,17.160644,0.000000,0.000000,0.000000,3.371475,-1.418838,1.149567,-3.170908,-7.169405,5.791769,-17.669757
4372577,2.211021,-1.786736,3.342329,9.277169,-7.482958,17.207204,0.000000,0.000000,0.000000,3.184632,-3.053293,2.469207,-3.219575,-12.896381,10.393058,-16.833217
4429577,2.083438,-1.680847,3.488753,8.019053,-6.448849,16.946928,0.000000,0.000000,0.000000,3.735037,-3.697363,2.983328,-3.495986,-13.471309,10.834193,-16.423858
4484513,3.262739,-2.628100,3.607189,11.204225,-8.998028,16.177476,0.000000,0.000000,0.000000,3.839930,-3.697363,2.983328,-3.495986,-13.471309,10.834193,-16.423858
4565513,3.206120,-2.576320,3.670159,9.783410,-7.817823,15.284555,0.000000,0.000000,0.000000,3.959694,-4.892035,3.934888,-3.629494,-15.013593,12.088341,-15.164554
4622513,4.567465,-3.663961,3.702700,12.802147,-10.215805,14.409793,0.000000,0.000000,0.000000,3.781151,-4.892035,3.934888,-3.629494,-15.013593,12.088341,-15.164554
4677643,3.435090,-2.749732,3.702845,8.993564,-7.129352,13.970924,0.000000,0.000000,0.000000,3.842144,-5.379614,4.311855,-3.694309,-14.538918,11.583461,-13.899817
4758513,3.151465,-2.513378,3.581742,7.733031,-6.076007,12.969929,0.000000,0.000000,0.000000,3.844783,-4.622430,3.692289,-3.625705,-11.743362,9.264804,-13.046849
4816643,4.201052,-3.341306,3.546016,10.291663,-8.087234,12.290720,0.000000,0.000000,0.000000,3.624655,-4.622430,3.692289,-3.625705,-11.743362,9.264804,-13.046849
4871513,3.195801,-2.534293,3.426610,7.361971,-5.727260,11.878975,0.000000,0.000000,0.000000,3.768308,-4.852595,3.854918,-3.500720,-11.864442,9.336613,-11.859377
4925513,4.164842,-3.293914,3.346905,9.975670,-7.777228,11.306015,0.000000,0.000000,0.000000,3.563565,-4.852595,3.854918,-3.500720,-11.864442,9.336613,-11.859377
4982513,3.096300,-2.441666,3.299453,6.806272,-5.250972,11.223341,0.000000,0.000000,0.000000,3.500440,-4.806607,3.796885,-3.358165,-11.504194,8.984507,-11.053736
5064513,2.786889,-2.188263,3.174371,6.127583,-4.697479,10.863112,0.000000,0.000000,0.000000,3.122333,-4.114050,3.235794,-3.215184,-9.814760,7.632737,-10.656491
5122513,3.729036,-2.920468,3.167553,8.981678,-6.929123,10.585082,0.000000,0.000000,0.000000,3.006879,-4.114050,3.235794,-3.215184,-9.814760,7.632737,-10.656491
5180643,2.870645,-2.243298,3.140303,6.474934,-4.961487,10.695315,0.000000,0.000000,0.000000,3.149353,-4.414422,3.454032,-3.157813,-10.963871,8.455485,-10.331725
5263577,2.690413,-2.097109,3.091364,6.259836,-4.796768,10.637783,0.000000,0.000000,0.000000,3.176549,-3.921116,3.059076,-3.121130,-9.805297,7.546301,-10.329571
5317577,3.689850,-2.872858,3.061937,9.487807,-7.315274,10.363610,0.000000,0.000000,0.000000,3.272883,-3.921116,3.059076,-3.121130,-9.805297,7.546301,-10.329571
5375643,2.899689,-2.255698,3.099351,7.052425,-5.421947,10.675576,0.000000,0.000000,0.000000,3.353571,-4.382417,3.410713,-3.110469,-11.430926,8.814213,-10.235981
5457643,2.776568,-2.155147,3.142120,6.866615,-5.266445,10.841047,0.000000,0.000000,0.000000,3.070524,-4.019118,3.122655,-3.135701,-10.518124,8.150069,-10.410617
5512773,3.954564,-3.062883,3.108519,10.705078,-8.223330,10.521456,0.000000,0.000000,0.000000,3.180517,-4.019118,3.122655,-3.135701,-10.518124,8.150069,-10.410617
5566577,3.120071,-2.410905,3.146946,8.058861,-6.152383,10.868652,0.000000,0.000000,0.000000,3.292288,-4.710086,3.644309,-3.135416,-12.932645,9.938730,-10.319162
5624643,4.447363,-3.429685,3.178778,12.085936,-9.248617,10.643516,0.000000,0.000000,0.000000,3.021045,-4.710086,3.644309,-3.135416,-12.932645,9.938730,-10.319162
5678643,3.416713,-2.632376,3.228538,8.744919,-6.671855,11.057127,0.000000,0.000000,0.000000,3.572906,-5.304635,4.088758,-3.197972,-14.525962,11.108902,-10.405883
5760513,3.329685,-2.566268,3.252677,8.586122,-6.579667,11.165075,0.000000,0.000000,0.000000,3.540633,-4.874337,3.755326,-3.241553,-13.318626,10.227484,-10.634155
5817513,4.785974,-3.693049,3.238953,13.238071,-10.201440,10.776881,0.000000,0.000000,0.000000,3.613677,-4.874337,3.755326,-3.241553,-13.318626,10.227484,-10.634155
5872513,3.740255,-2.892284,3.303895,9.637125,-7.464754,11.225798,0.000000,0.000000,0.000000,3.608026,-5.748845,4.439969,-3.251415,-16.104568,12.436930,-10.473259
5926643,5.299638,-4.105934,3.254442,14.572889,-11.321171,10.746019,0.000000,0.000000,0.000000,3.472593,-5.748845,4.439969,-3.251415,-16.104568,12.436930,-10.473259
5983513,4.067850,-3.075492,3.394757,10.024292,-7.565691,11.404813,0.000000,0.000000,0.000000,3.624185,-6.152366,4.918252,-3.316105,-17.392766,13.496758,-10.529644
6065513,3.946930,-2.938883,3.424624,9.605753,-7.165313,11.489746,0.000000,0.000000,0.000000,3.632250,-5.599407,4.402843,-3.386700,-15.544111,11.915320,-10.794617
6120513,5.592527,-4.199721,3.357606,15.082673,-11.408021,10.892946,0.000000,0.000000,0.000000,3.665210,-5.599407,4.402843,-3.386700,-15.544111,11.915320,-10.794617
6177513,4.328695,-3.201568,3.480469,10.327315,-7.707360,11.516469,0.000000,0.000000,0.000000,3.830160,-6.517147,5.054674,-3.415758,-18.292638,13.860679,-10.603014
